Date,Adj Close,Close,High,Low,Open,Volume
2009-06-25,1.1408321857452393,1.205556035041809,1.2104170322418213,1.1262500286102295,1.1262500286102295,2577600
2009-06-26,1.1349173784255981,1.1993060111999512,1.213055968284607,1.177361011505127,1.1952780485153198,13104000
2009-06-29,1.1671172380447388,1.2333329916000366,1.236111044883728,1.1913889646530151,1.2083330154418945,8690400
2009-06-30,1.1392542123794556,1.203889012336731,1.2433329820632935,1.1763889789581299,1.2333329916000366,17128800
2009-07-01,1.1514778137207031,1.2168060541152954,1.2529170513153076,1.2136110067367554,1.2184720039367676,12038400
2009-07-02,1.0564525127410889,1.1163890361785889,1.1698609590530396,1.1159720420837402,1.1693060398101807,29275200
2009-07-06,1.059342861175537,1.1194440126419067,1.1206940412521362,1.0743060111999512,1.0855560302734375,22572000
2009-07-07,0.993364155292511,1.0497219562530518,1.1168060302734375,1.0497219562530518,1.114027976989746,29016000
2009-07-08,0.9945473074913025,1.0509719848632812,1.0765279531478882,1.013888955116272,1.0701390504837036,49824000
2009-07-09,1.0007249116897583,1.0575000047683716,1.0816669464111328,1.0462499856948853,1.069443941116333,45892800
2009-07-10,0.9911298155784607,1.0473610162734985,1.065693974494934,1.0263890027999878,1.0386110544204712,51199200
2009-07-13,1.063549518585205,1.1238889694213867,1.1256940364837646,1.034999966621399,1.059999942779541,43675200
2009-07-14,1.0853666067123413,1.1469440460205078,1.1469440460205078,1.1102780103683472,1.1352779865264893,38700000
2009-07-15,1.178157925605774,1.2450000047683716,1.2523610591888428,1.1844439506530762,1.189028024673462,36921600
2009-07-16,1.2097017765045166,1.2783329486846924,1.2925000190734863,1.2262500524520874,1.2324999570846558,46396800
2009-07-17,1.2075990438461304,1.2761110067367554,1.2847219705581665,1.2540279626846313,1.2745829820632935,27374400
2009-07-20,1.2442684173583984,1.3148610591888428,1.325139045715332,1.28125,1.3019440174102783,37195200
2009-07-21,1.2649037837982178,1.3366669416427612,1.3512500524520874,1.289167046546936,1.3488889932632446,45237600
2009-07-22,1.2625375986099243,1.3341670036315918,1.3595830202102661,1.3086110353469849,1.3108329772949219,37634400
2009-07-23,1.3463915586471558,1.4227780103683472,1.4416669607162476,1.3370829820632935,1.3381940126419067,55022400
2009-07-24,1.3640034198760986,1.4413889646530151,1.4440280199050903,1.3815280199050903,1.399999976158142,60127200
2009-07-27,1.3755693435668945,1.4536110162734985,1.4566669464111328,1.4106940031051636,1.4369440078735352,44935200
2009-07-28,1.3638722896575928,1.441249966621399,1.4550000429153442,1.3976390361785889,1.4240280389785767,46476000
2009-07-29,1.3457340002059937,1.4220830202102661,1.4355560541152954,1.3941669464111328,1.4136110544204712,55908000
2009-07-30,1.387792944908142,1.466528058052063,1.5176390409469604,1.4648610353469849,1.4765280485153198,55886400
2009-07-31,1.3918665647506714,1.4708329439163208,1.5036109685897827,1.454861044883728,1.4680559635162354,54871200
2009-08-03,1.461920142173767,1.5448609590530396,1.5504169464111328,1.4969439506530762,1.5229170322418213,39600000
2009-08-04,1.4759831428527832,1.5597219467163086,1.5652780532836914,1.5169440507888794,1.5259720087051392,34984800
2009-08-05,1.4654687643051147,1.548611044883728,1.5658329725265503,1.5068060159683228,1.563472032546997,62568000
2009-08-06,1.4379992485046387,1.519582986831665,1.572638988494873,1.5,1.567916989326477,69249600
2009-08-07,1.4950416088104248,1.579861044883728,1.6184719800949097,1.5443060398101807,1.5701390504837036,44042400
2009-08-10,1.484658122062683,1.5688890218734741,1.5813889503479004,1.538193941116333,1.5594439506530762,46512000
2009-08-11,1.4281426668167114,1.509166955947876,1.5525000095367432,1.5,1.5506939888000488,48729600
2009-08-12,1.4778239727020264,1.5616669654846191,1.5948610305786133,1.5029170513153076,1.5029170513153076,71791200
2009-08-13,1.5112072229385376,1.596943974494934,1.598471999168396,1.5373610258102417,1.5833330154418945,100713600
2009-08-14,1.475063443183899,1.558750033378601,1.5981940031051636,1.5081939697265625,1.5981940031051636,72115200
